Código FIPE,Modelo,Ano,Mês de Referência,Preço
057043-5,LS 500h 3.5 V6 24v Aut.(Hybrid),2019,dezembro de 2021 ,"R$ 719.599,00"
057038-9,NX-200t Luxury 2.0 16V 238cv Aut.,2016,agosto de 2021 ,"R$ 145.793,00"
057041-9,NX-300 Luxury 2.0 16V 238cv Aut.,2018,fevereiro de 2021 ,"R$ 179.152,00"
057039-7,NX-200t F-Sport 2.0 16v 238cv Aut.,2015,junho de 2020 ,"R$ 137.509,00"
057043-5,LS 500h 3.5 V6 24v Aut.(Hybrid),2018,dezembro de 2020 ,"R$ 568.096,00"
057039-7,NX-200t F-Sport 2.0 16v 238cv Aut.,2015,setembro de 2020 ,"R$ 134.092,00"
057045-1,NX-300h Dynamic 2.5 16V Aut.(Hybrid),32000,junho de 2021 ,"R$ 317.880,00"
057038-9,NX-200t Luxury 2.0 16V 238cv Aut.,2015,junho de 2021 ,"R$ 134.907,00"
057038-9,NX-200t Luxury 2.0 16V 238cv Aut.,2015,setembro de 2021 ,"R$ 144.266,00"
057038-9,NX-200t Luxury 2.0 16V 238cv Aut.,2015,maio de 2021 ,"R$ 133.575,00"
057045-1,NX-300h Dynamic 2.5 16V Aut.(Hybrid),32000,julho de 2020 ,"R$ 238.933,00"
057038-9,NX-200t Luxury 2.0 16V 238cv Aut.,2015,março de 2021 ,"R$ 129.035,00"
057029-0,LS 460 4.6 32V 347cv,2010,fevereiro de 2020 ,"R$ 259.388,00"
057044-3,NX-300h F-Sport 2.5 16V Aut.(Hybrid),2021,abril de 2021 ,"R$ 311.556,00"
057002-8,RX 300 3.0 V6 24V,2002,janeiro de 2021 ,"R$ 34.896,00"
057032-0,RX-350 3.5 24V  Aut.,2018,maio de 2021 ,"R$ 299.723,00"
057045-1,NX-300h Dynamic 2.5 16V Aut.(Hybrid),2019,fevereiro de 2020 ,"R$ 187.969,00"
057045-1,NX-300h Dynamic 2.5 16V Aut.(Hybrid),2019,abril de 2020 ,"R$ 194.682,00"
057002-8,RX 300 3.0 V6 24V,2001,dezembro de 2020 ,"R$ 33.912,00"
057045-1,NX-300h Dynamic 2.5 16V Aut.(Hybrid),2019,maio de 2020 ,"R$ 193.902,00"
057002-8,RX 300 3.0 V6 24V,2000,junho de 2021 ,"R$ 32.837,00"
057044-3,NX-300h F-Sport 2.5 16V Aut.(Hybrid),2019,março de 2021 ,"R$ 237.045,00"
057002-8,RX 300 3.0 V6 24V,2001,abril de 2021 ,"R$ 33.545,00"
057002-8,RX 300 3.0 V6 24V,2000,maio de 2021 ,"R$ 32.356,00"
057002-8,RX 300 3.0 V6 24V,2001,fevereiro de 2021 ,"R$ 33.728,00"
057046-0,NX-300h Luxury 2.5 16V Aut.(Hybrid),2019,fevereiro de 2020 ,"R$ 196.458,00"
057050-8,UX-250h Dynamic 2.0 16V Aut.(Hybrid),32000,novembro de 2020 ,"R$ 235.100,00"
057003-6,SC 400 4.0 V8,1995,setembro de 2021 ,"R$ 31.534,00"
057032-0,RX-350 3.5 24V  Aut.,2017,março de 2021 ,"R$ 249.990,00"
057049-4,UX-250h Luxury 2.0 16V Aut.(Hybrid),32000,setembro de 2020 ,"R$ 206.720,00"
057052-4,RX-450h F-Sport 3.5 24V V6 Aut.(Hybrid),2021,junho de 2021 ,"R$ 403.974,00"
057032-0,RX-350 3.5 24V  Aut.,2017,fevereiro de 2020 ,"R$ 264.711,00"
057003-6,SC 400 4.0 V8,1994,outubro de 2021 ,"R$ 30.747,00"
057049-4,UX-250h Luxury 2.0 16V Aut.(Hybrid),32000,junho de 2020 ,"R$ 193.945,00"
057003-6,SC 400 4.0 V8,1994,agosto de 2021 ,"R$ 29.853,00"
057032-0,RX-350 3.5 24V  Aut.,2016,abril de 2021 ,"R$ 180.902,00"
057051-6,RX-450h Luxury 3.5 24V V6 Aut.(Hybrid),2021,abril de 2021 ,"R$ 383.968,00"
057032-0,RX-350 3.5 24V  Aut.,2017,janeiro de 2020 ,"R$ 266.229,00"
057003-6,SC 400 4.0 V8,1994,novembro de 2021 ,"R$ 30.854,00"
057002-8,RX 300 3.0 V6 24V,1999,março de 2021 ,"R$ 26.722,00"
057048-6,UX-250h F-Sport 2.0 16V Aut.(Hybrid),2019,abril de 2020 ,"R$ 198.767,00"
057048-6,UX-250h F-Sport 2.0 16V Aut.(Hybrid),2019,março de 2020 ,"R$ 197.838,00"
057048-6,UX-250h F-Sport 2.0 16V Aut.(Hybrid),2019,fevereiro de 2020 ,"R$ 194.521,00"
