Código FIPE,Modelo,Ano,Mês de Referência,Preço
515137-6,17-330 E Constellation 2p (diesel)(E5),2020,fevereiro de 2020 ,"R$ 231.055,00"
515118-0,19-370 E Constel. Tractor 2p (diesel),2009,julho de 2021 ,"R$ 114.709,00"
515154-6,19-420 E Constellation 2p (diesel)(E5),2022,março de 2021 ,"R$ 354.861,00"
515139-2,19-390 E Constellation 2p (diesel)(E5),2020,janeiro de 2021 ,"R$ 284.545,00"
515154-6,19-420 E Constellation 2p (diesel)(E5),2021,janeiro de 2021 ,"R$ 325.458,00"
515118-0,19-370 E Constel. Tractor 2p (diesel),2009,janeiro de 2021 ,"R$ 95.675,00"
515139-2,19-390 E Constellation 2p (diesel)(E5),2020,fevereiro de 2021 ,"R$ 289.965,00"
515137-6,17-330 E Constellation 2p (diesel)(E5),2019,abril de 2020 ,"R$ 198.215,00"
515099-0,23-250 E 6x2 3-Eixos 2p (diesel),2005,abril de 2021 ,"R$ 81.111,00"
515154-6,19-420 E Constellation 2p (diesel)(E5),2021,novembro de 2020 ,"R$ 315.844,00"
515154-6,19-420 E Constellation 2p (diesel)(E5),2021,outubro de 2020 ,"R$ 304.788,00"
515047-7,22-140 3-Eixos 2p (diesel),1988,março de 2020 ,"R$ 25.854,00"
